filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
HIBB,HIBB,8/15/2014,4591137,379236,12.106279
HIBB,HIBB,7/31/2014,4791526,314213,15.249293
HIBB,HIBB,7/15/2014,4634149,182079,25.451310
HIBB,HIBB,6/30/2014,4544991,239587,18.970107
HIBB,HIBB,6/13/2014,4150758,256651,16.172772
HIBB,HIBB,5/30/2014,3932946,625841,6.284258
HIBB,HIBB,5/15/2014,4195237,343218,12.223243
HIBB,HIBB,4/30/2014,4053264,204796,19.791715
HIBB,HIBB,4/15/2014,4147402,430456,9.634903
HIBB,HIBB,3/31/2014,4395089,335496,13.100272
HIBB,HIBB,3/14/2014,4378063,530864,8.247052
HIBB,HIBB,2/28/2014,4879353,331390,14.723899
HIBB,HIBB,2/14/2014,5047398,304871,16.555848
HIBB,HIBB,1/31/2014,5479676,279083,19.634575
HIBB,HIBB,1/15/2014,5359323,261021,20.532153
HIBB,HIBB,12/31/2013,5398488,273134,19.764980
HIBB,HIBB,12/13/2013,5256401,230789,22.775787
HIBB,HIBB,11/29/2013,5284771,482631,10.949920
HIBB,HIBB,11/15/2013,5303826,309938,17.112539
HIBB,HIBB,10/31/2013,4933045,221893,22.231639
HIBB,HIBB,10/15/2013,4967861,325906,15.243233
HIBB,HIBB,9/30/2013,4662859,321866,14.486957
HIBB,HIBB,9/13/2013,4537138,361459,12.552289
HIBB,HIBB,8/30/2013,4414719,604101,7.307915
HIBB,HIBB,8/15/2013,4500100,221756,20.293025
