filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
HPY,HPY,8/15/2014,5896351,413210,14.269623
HPY,HPY,7/31/2014,6310248,648286,9.733741
HPY,HPY,7/15/2014,7680944,343628,22.352497
HPY,HPY,6/30/2014,7250212,353097,20.533202
HPY,HPY,6/13/2014,7176537,321414,22.328016
HPY,HPY,5/30/2014,7896359,272939,28.930856
HPY,HPY,5/15/2014,7853128,424584,18.496053
HPY,HPY,4/30/2014,6959147,523398,13.296090
HPY,HPY,4/15/2014,7596429,616478,12.322303
HPY,HPY,3/31/2014,7464881,502314,14.860985
HPY,HPY,3/14/2014,7030755,575177,12.223637
HPY,HPY,2/28/2014,6042480,527959,11.444980
HPY,HPY,2/14/2014,5887515,609820,9.654513
HPY,HPY,1/31/2014,5781287,381234,15.164668
HPY,HPY,1/15/2014,5499016,462909,11.879259
HPY,HPY,12/31/2013,5848542,414384,14.113822
HPY,HPY,12/13/2013,6806386,391685,17.377193
HPY,HPY,11/29/2013,7735985,352479,21.947364
HPY,HPY,11/15/2013,8045334,507992,15.837521
HPY,HPY,10/31/2013,9302449,326305,28.508448
HPY,HPY,10/15/2013,9378182,350635,26.746280
HPY,HPY,9/30/2013,9019902,242559,37.186425
HPY,HPY,9/13/2013,9179539,183900,49.915927
HPY,HPY,8/30/2013,9064399,200042,45.312479
HPY,HPY,8/15/2013,8896589,390419,22.787285
