filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
ARPI,ARPI,9/15/2014,2429138,446160,5.444545
ARPI,ARPI,8/29/2014,2218661,210448,10.542562
ARPI,ARPI,8/15/2014,2096838,275666,7.606444
ARPI,ARPI,7/31/2014,2421679,172787,14.015400
ARPI,ARPI,7/15/2014,2464461,321414,7.667560
ARPI,ARPI,6/30/2014,1765387,438441,4.026510
ARPI,ARPI,6/13/2014,1521687,281222,5.410981
ARPI,ARPI,5/30/2014,1371707,193402,7.092517
ARPI,ARPI,5/15/2014,1590722,216918,7.333287
ARPI,ARPI,4/30/2014,1853504,173368,10.691154
ARPI,ARPI,4/15/2014,1830240,212427,8.615854
ARPI,ARPI,3/31/2014,1844628,302467,6.098609
ARPI,ARPI,3/14/2014,1259741,311308,4.046607
ARPI,ARPI,2/28/2014,2193503,119064,18.422890
ARPI,ARPI,2/14/2014,2221405,286023,7.766526
ARPI,ARPI,1/31/2014,2345956,208109,11.272727
ARPI,ARPI,1/15/2014,2241953,261234,8.582164
ARPI,ARPI,12/31/2013,2325544,243974,9.531934
ARPI,ARPI,12/13/2013,2457284,294859,8.333760
ARPI,ARPI,11/29/2013,2152599,866450,2.484389
ARPI,ARPI,11/15/2013,605761,369784,1.638148
ARPI,ARPI,10/31/2013,769545,186174,4.133472
ARPI,ARPI,10/15/2013,792854,78540,10.094907
