filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
STAR,STAR,9/15/2014,11058604,743113,14.881457
STAR,STAR,8/29/2014,10843907,652310,16.623855
STAR,STAR,8/15/2014,11151219,618909,18.017542
STAR,STAR,7/31/2014,10772107,966605,11.144270
STAR,STAR,7/15/2014,9358865,504267,18.559345
STAR,STAR,6/30/2014,9565807,564272,16.952475
STAR,STAR,6/13/2014,9035251,720845,12.534249
STAR,STAR,5/30/2014,8082091,461429,17.515351
STAR,STAR,5/15/2014,8068272,498197,16.194943
STAR,STAR,4/30/2014,7759991,653837,11.868388
STAR,STAR,4/15/2014,7734534,549399,14.078173
STAR,STAR,3/31/2014,7147681,939584,7.607283
STAR,STAR,3/14/2014,7349720,558113,13.168874
STAR,STAR,2/28/2014,7297820,768051,9.501739
STAR,STAR,2/14/2014,7342972,546353,13.439977
STAR,STAR,1/31/2014,7038181,777686,9.050158
STAR,STAR,1/15/2014,8724877,703670,12.399103
STAR,STAR,12/31/2013,9063314,1105937,8.195145
STAR,STAR,11/29/2013,8915623,610072,14.614050
STAR,STAR,11/15/2013,8263415,1282037,6.445536
STAR,STAR,10/31/2013,7806828,595030,13.120058
STAR,STAR,10/15/2013,8312995,655641,12.679187
