filename,ticker_in_file,    Settlement Date,Short Interest,Avg Daily Share Volume,Days To Cover
ROLL,ROLL,9/15/2014,710807,53390,13.313486
ROLL,ROLL,8/29/2014,657073,71217,9.226350
ROLL,ROLL,8/15/2014,649666,85501,7.598344
ROLL,ROLL,7/31/2014,683381,87200,7.836938
ROLL,ROLL,7/15/2014,715548,71681,9.982394
ROLL,ROLL,6/30/2014,711397,84298,8.439073
ROLL,ROLL,6/13/2014,725231,107264,6.761178
ROLL,ROLL,5/30/2014,747157,107362,6.959231
ROLL,ROLL,5/15/2014,784519,113095,6.936814
ROLL,ROLL,4/30/2014,817383,76288,10.714437
ROLL,ROLL,4/15/2014,820401,82513,9.942688
ROLL,ROLL,3/31/2014,776571,78398,9.905495
ROLL,ROLL,3/14/2014,756768,88853,8.517079
ROLL,ROLL,2/28/2014,725664,108091,6.713454
ROLL,ROLL,2/14/2014,709702,139112,5.101659
ROLL,ROLL,1/31/2014,615870,60632,10.157508
ROLL,ROLL,1/15/2014,565633,85223,6.637093
ROLL,ROLL,12/31/2013,530641,98413,5.391981
ROLL,ROLL,12/13/2013,561192,63908,8.781248
ROLL,ROLL,11/29/2013,591480,70718,8.363924
ROLL,ROLL,11/15/2013,626785,83393,7.516039
ROLL,ROLL,10/31/2013,625908,81388,7.690421
ROLL,ROLL,10/15/2013,657172,64847,10.134193
